electrode_1_standard_deviation,electrode_2_standard_deviation,electrode_3_standard_deviation,electrode_4_standard_deviation,electrode_5_standard_deviation,electrode_6_standard_deviation,electrode_7_standard_deviation,electrode_8_standard_deviation,electrode_1_root_mean_square,electrode_2_root_mean_square,electrode_3_root_mean_square,electrode_4_root_mean_square,electrode_5_root_mean_square,electrode_6_root_mean_square,electrode_7_root_mean_square,electrode_8_root_mean_square,electrode_1_modified_mean_absolute_value_1,electrode_2_modified_mean_absolute_value_1,electrode_3_modified_mean_absolute_value_1,electrode_4_modified_mean_absolute_value_1,electrode_5_modified_mean_absolute_value_1,electrode_6_modified_mean_absolute_value_1,electrode_7_modified_mean_absolute_value_1,electrode_8_modified_mean_absolute_value_1,electrode_1_modified_mean_absolute_value_2,electrode_2_modified_mean_absolute_value_2,electrode_3_modified_mean_absolute_value_2,electrode_4_modified_mean_absolute_value_2,electrode_5_modified_mean_absolute_value_2,electrode_6_modified_mean_absolute_value_2,electrode_7_modified_mean_absolute_value_2,electrode_8_modified_mean_absolute_value_2,electrode_1_zero_crossing,electrode_2_zero_crossing,electrode_3_zero_crossing,electrode_4_zero_crossing,electrode_5_zero_crossing,electrode_6_zero_crossing,electrode_7_zero_crossing,electrode_8_zero_crossing,electrode_1_average_amplitude_change,electrode_2_average_amplitude_change,electrode_3_average_amplitude_change,electrode_4_average_amplitude_change,electrode_5_average_amplitude_change,electrode_6_average_amplitude_change,electrode_7_average_amplitude_change,electrode_8_average_amplitude_change,electrode_1_slope_sign_change,electrode_2_slope_sign_change,electrode_3_slope_sign_change,electrode_4_slope_sign_change,electrode_5_slope_sign_change,electrode_6_slope_sign_change,electrode_7_slope_sign_change,electrode_8_slope_sign_change,electrode_1_mean_absolute_value,electrode_2_mean_absolute_value,electrode_3_mean_absolute_value,electrode_4_mean_absolute_value,electrode_5_mean_absolute_value,electrode_6_mean_absolute_value,electrode_7_mean_absolute_value,electrode_8_mean_absolute_value,electrode_1_waveform_length,electrode_2_waveform_length,electrode_3_waveform_length,electrode_4_waveform_length,electrode_5_waveform_length,electrode_6_waveform_length,electrode_7_waveform_length,electrode_8_waveform_length,electrode_1_willison_amplitude,electrode_2_willison_amplitude,electrode_3_willison_amplitude,electrode_4_willison_amplitude,electrode_5_willison_amplitude,electrode_6_willison_amplitude,electrode_7_willison_amplitude,electrode_8_willison_amplitude,electrode_1_simple_square_integral,electrode_2_simple_square_integral,electrode_3_simple_square_integral,electrode_4_simple_square_integral,electrode_5_simple_square_integral,electrode_6_simple_square_integral,electrode_7_simple_square_integral,electrode_8_simple_square_integral,classification
0.086143099487037,0.0629720493531926,0.0472753659718984,0.0338713073431868,0.0286859759778151,0.0245744535489972,0.0131251309534313,0.0167256052468998,0.0866803017709425,0.0638883076993226,0.0484546442849736,0.0353612278137604,0.0305724161700543,0.0262467195380044,0.0163131337696041,0.0190728783235514,0.0442971,0.0351826466666666,0.0293231183333333,0.0201303049999999,0.0181251483333333,0.015625085,0.0098698766666666,0.0113282033333333,0.0402988055555555,0.0310197630222222,0.0245168457333333,0.0157708978222222,0.0149924914666666,0.0134979940888888,0.0070910344444444,0.0087549260888888,60,55,75,54,44,38,24,26,0.0791149466666667,0.0625527933333333,0.0564066733333332,0.0340626799999999,0.0286461066666666,0.0250001433333333,0.01442724,0.0167709733333333,0,0,0,0,0,0,0,0,-0.0096354099999999,-0.01078132,-0.01062508,-0.0101563266666666,-0.0105729566666666,-0.0092188133333333,-0.0096875833333333,-0.0091667233333333,11.867242000000006,9.382919000000008,8.461000999999992,5.109401999999995,4.296916,3.750021500000002,2.164086000000001,2.5156460000000016,55,44,66,29,24,21,2,10,1.1270212072652497,0.6122573791024999,0.3521778829174999,0.1875624648744999,0.14020089457125,0.103333542976,0.0399177500077499,0.0545662031317499,5
0.0616279558575024,0.0539340433712433,0.0495470424051572,0.0340785968093675,0.0314923461285128,0.0301796693006366,0.014161128728962,0.0155488781091455,0.0624677095818044,0.0547879822160845,0.0505668343904216,0.0352231698361793,0.0329487046106267,0.031728393241937,0.01712834593352,0.0179971554476441,0.0367970333333333,0.02976574,0.0288803816666666,0.0200782966666666,0.0198698683333333,0.0192449033333333,0.0106511066666666,0.0106771566666666,0.0319744095999999,0.0261737032,0.0251480690666666,0.0161029207555555,0.0165840791111111,0.0159924516888888,0.0070097608444444,0.0082347888,67,55,62,54,61,51,33,27,0.0635940766666667,0.0514585066666666,0.0532294866666666,0.0380211599999999,0.0352605566666666,0.0335939633333333,0.0153126133333333,0.0170834666666666,0,0,0,0,0,0,0,0,-0.01020832,-0.0096354533333333,-0.0101042233333333,-0.00890623,-0.0096875833333333,-0.0097917566666666,-0.00963549,-0.0090625599999999,9.539111500000004,7.718775999999992,7.984422999999994,5.703173999999993,5.289083499999998,5.039094499999996,2.296892000000001,2.562520000000001,57,46,49,33,41,37,3,10,0.5853322110594997,0.4502584492965003,0.3835507110402502,0.1861007539962499,0.1628425703277499,0.1510036406572499,0.0440070351627499,0.0485846406309999,5
0.0675685700288131,0.0343059601727722,0.0431443804055452,0.0345792362312673,0.024287985724756,0.0229669354953971,0.0140239548293423,0.017291138025122,0.0681530143165118,0.0356194235492144,0.0443597344652783,0.0358412417441834,0.0260912256772272,0.0248861899109392,0.0165851951435107,0.0194739863888556,0.034739825,0.0208855799999999,0.0272136683333333,0.0205469616666666,0.0153646683333333,0.014114705,0.0098698416666666,0.0113542283333333,0.0305953441333333,0.0168890281333333,0.0227077369333333,0.0174472866666666,0.0119966051111111,0.0114959475111111,0.0070076733333333,0.0089139343555555,72,58,70,60,43,40,30,31,0.0638025833333333,0.0370836599999999,0.0500523033333332,0.0377605933333332,0.0251042933333333,0.0236981633333333,0.0143230233333333,0.0186980666666666,0,0,0,0,0,0,0,0,-0.0089062733333333,-0.00958355,-0.01031254,-0.0094271433333333,-0.0095313066666666,-0.00958344,-0.00885423,-0.0089583866666666,9.5703875,5.562548999999991,7.507845499999991,5.664088999999992,3.765644000000001,3.5547245000000007,2.1484535000000005,2.8047100000000014,54,34,52,34,17,15,2,9,0.696725004064,0.1903115000967499,0.2951679062745,0.1926891914647499,0.102112808601,0.0928983672425,0.0412603046922499,0.0568854218809999,5
0.0403105995773959,0.0335624271693809,0.0450897236338446,0.0294733047040688,0.0272181402462761,0.0244688466765395,0.0137133456145873,0.0149431925472678,0.041271566972675,0.0349038403769556,0.046140691786318,0.0308504917079668,0.0291062770672696,0.0261847815854935,0.0164373288974111,0.0175854565276253,0.0234898316666666,0.0206251366666666,0.0257033433333333,0.0193751366666666,0.01703133,0.0153647133333333,0.009635465,0.0102344333333333,0.0196141228,0.0177778964444444,0.0214855936888888,0.0155230328,0.0141278470222222,0.0129591450666666,0.0072958724444444,0.0077826829777777,50,46,64,59,33,40,25,22,0.0387504066666666,0.0336981366666666,0.0432295733333332,0.0329689433333333,0.02802098,0.02364608,0.0149480166666666,0.0160938766666666,0,0,0,0,0,0,0,0,-0.0088542533333333,-0.0095834,-0.0097918466666666,-0.0091146666666666,-0.0103125266666666,-0.009323,-0.0090625566666666,-0.0092708833333333,5.812560999999995,5.054720499999998,6.484435999999993,4.945341499999997,4.203147,3.546912000000002,2.242202500000001,2.414081500000001,40,35,40,34,25,20,8,8,0.2555013360569999,0.1827417109589999,0.3193445157780001,0.1427629257935,0.1270763047075,0.102846418002,0.0405278671922499,0.0463872421927499,5
0.0465414047017789,0.0482078722052161,0.0577293968708995,0.0421879833192786,0.0326784682102058,0.0268372013306589,0.0143679140758705,0.0146836390623108,0.0473761329117485,0.0491715989847967,0.0586896292277718,0.043117848146021,0.0341139305996587,0.0284275889370109,0.016877030742995,0.0176201507819882,0.0256512066666666,0.02716164,0.03122418,0.0249740883333333,0.01851576,0.0165887016666666,0.0095573383333333,0.011067775,0.0229036302666666,0.0234883503555555,0.0261140559111111,0.0208792762222222,0.0161535993333333,0.0139855614222222,0.0071382270666666,0.0085861684888888,50,59,61,57,38,48,30,23,0.0450003066666666,0.0478649533333332,0.0564066666666666,0.0442190299999999,0.0287502766666666,0.02692739,0.0150521766666666,0.0145834466666666,0,0,0,0,0,0,0,0,-0.00885413,-0.0096874766666666,-0.0105730466666666,-0.00890634,-0.00979173,-0.0093750966666666,-0.00885422,-0.0097396333333333,6.750045999999992,7.179742999999991,8.460999999999993,6.632854499999993,4.3125415,4.039108500000002,2.2578265,2.187517000000001,39,40,55,46,26,23,4,6,0.33667469545075,0.36267692200825,0.516670886834,0.2788723243115002,0.1745640391437499,0.12121917191575,0.0427251250049999,0.0465704570369999,5
0.0546231136695735,0.0325303458053486,0.0582065416217776,0.0326222481426616,0.0250272474442947,0.0211061468150312,0.01173955165025,0.0148072428268721,0.0554306551167612,0.0340480531310039,0.0591589928348457,0.0339283025459325,0.0269126751437558,0.0230525260737661,0.0145182051675359,0.017387664000856,0.03122417,0.0215625866666666,0.0321616033333333,0.0205209366666666,0.016770935,0.014531335,0.008854225,0.01057297,0.0285640796444444,0.0176910349777777,0.0226958842666666,0.0160813496444444,0.0135431407555555,0.0116070138666666,0.0063639348888888,0.0081424041777777,58,59,63,58,42,35,22,30,0.0530732499999999,0.0373959866666666,0.0647399466666666,0.0370834466666666,0.02572936,0.0200001333333333,0.0111980233333333,0.0155730233333333,0,0,0,0,0,0,0,0,-0.0094272466666666,-0.01005219,-0.01057284,-0.0093230166666666,-0.0098959066666666,-0.0092708966666666,-0.0085417333333333,-0.0091146266666666,7.960987499999991,5.609397999999996,9.71099199999999,5.562516999999996,3.8594040000000014,3.000020000000001,1.6797035000000011,2.335953500000001,52,36,57,38,21,14,0,6,0.4608836290010001,0.1738904883017499,0.5249679649850001,0.1726694570472499,0.108643812509,0.07971284375725,0.031616742193,0.045349628911,5
0.0629991855144969,0.0455180118854796,0.0511869337232246,0.0363141738805064,0.0296149820050407,0.0246258699392317,0.0123225785886702,0.0161896290598508,0.0637797779824451,0.0465924039947142,0.0521746865570364,0.0376247200313614,0.0310477735932331,0.026501150724261,0.0155467457078107,0.0186303662581192,0.0365367166666666,0.02760434,0.0310939066666666,0.0233334266666666,0.0182032516666666,0.0158073383333333,0.0092448216666666,0.010781305,0.030648831911111,0.0228730623111111,0.0224904067111111,0.0187910261777777,0.0151431719555555,0.0134743475999999,0.0066632174666666,0.0075437865777777,72,61,69,58,53,36,24,30,0.06416724,0.0497919933333333,0.0582814899999999,0.0378126366666666,0.0307293999999999,0.0230208966666666,0.01421881,0.0171876233333333,0,0,0,0,0,0,0,0,-0.009948,-0.009948,-0.0101042433333333,-0.0098437966666666,-0.0093229333333333,-0.0097917066666666,-0.0094792066666666,-0.00921881,9.625086000000003,7.468798999999995,8.742223499999994,5.671895499999995,4.609409999999997,3.4531345000000013,2.1328215000000004,2.5781435000000013,57,45,73,35,28,24,1,7,0.6101790119234998,0.3256278165010001,0.40832968759875,0.2123429336157499,0.1445946367644999,0.1053466484565,0.0362551953155,0.0520635820367499,5
0.0603745008687524,0.0503316364133043,0.0576378972127328,0.0359734111432782,0.0261212296040051,0.0270843149069559,0.0130858723994937,0.013928460946376,0.0610980598518616,0.0514088536634174,0.0585996144973667,0.0372280521226041,0.027914499762071,0.0286270841689008,0.0159473164224684,0.0167317453397725,0.0345575516666666,0.0305471116666666,0.03187534,0.0233335016666666,0.0166667366666666,0.017213655,0.0100781816666666,0.0104688016666666,0.0300481427555555,0.0268071621777777,0.0259315345777777,0.0169917796,0.0138285321777777,0.0142243977333333,0.0073264361777777,0.0081194846222222,62,61,69,65,42,45,33,29,0.0566670999999999,0.0500524966666666,0.06375071,0.0455211999999999,0.02677094,0.0266668533333333,0.01458345,0.01328135,0,0,0,0,0,0,0,0,-0.0093751033333333,-0.01046884,-0.0105729666666666,-0.0095833999999999,-0.0098438133333333,-0.0092709133333333,-0.00911465,-0.0092708833333333,8.500064999999998,7.507874499999993,9.562606500000005,6.828179999999988,4.015641000000002,4.000028000000002,2.187517500000001,1.9922025000000003,47,46,71,55,24,26,3,1,0.55994593764925,0.3964305352480001,0.5150872228860001,0.2078891797264999,0.116882894545,0.122926492202,0.03814753516175,0.0419926953172499,5
0.0714718036262855,0.059265823319084,0.0542229071236399,0.0336926194649405,0.0271472049556178,0.0262352056067338,0.0130114649176895,0.0146946857666788,0.072005417193882,0.0600027421347558,0.0552945535921637,0.0348102797040855,0.0294259991705464,0.0281324874330372,0.0157677124290959,0.0168166359542666,0.0418751266666666,0.0333335866666666,0.0305210066666666,0.0212240516666666,0.01768237,0.01666678,0.0095573516666666,0.0097656683333333,0.0365084507999999,0.0296571701333333,0.0254195751111111,0.0173049336444444,0.0148688139111111,0.0141035863999999,0.0067417097333333,0.0076930924444444,90,62,76,64,46,33,34,34,0.0787503466666667,0.0611463166666666,0.06281286,0.0379168133333332,0.0278647333333333,0.0253127,0.0136980466666666,0.0154167533333333,0,0,0,0,0,0,0,0,-0.0087499366666666,-0.0093750333333333,-0.0108334666666666,-0.0087500266666666,-0.0113542366666666,-0.01015632,-0.00890632,-0.00817713,11.812552000000007,9.171947500000002,9.421929,5.687521999999993,4.179709999999999,3.7969050000000006,2.0547070000000014,2.312513000000001,67,52,61,38,24,22,0,7,0.7777170157897497,0.5400493595534999,0.4586231485435,0.1817633359615,0.12988341407775,0.1187155273755,0.0372931132869999,0.0424198867227499,5
0.0635075312276999,0.0561066284023538,0.0477839239903152,0.0377702238898905,0.0248234918721003,0.022201320892024,0.0147647119616093,0.0167981881423708,0.0642500338540248,0.057094148541977,0.0491507531671692,0.0389163445765186,0.0266848896090715,0.0239017912518427,0.0175739160713636,0.019062213796846,0.035989785,0.0334116866666666,0.028880355,0.0240104799999999,0.0169011466666666,0.0149479983333333,0.0108334016666666,0.0119011183333333,0.0313591988888888,0.0299668682666666,0.0234917628888888,0.0188986308,0.0128577183555555,0.0119542375555555,0.0077090801333333,0.0091445088444444,74,58,67,67,51,41,31,34,0.0654170033333333,0.0577608433333333,0.0525002733333332,0.0445834466666666,0.02661479,0.0239585,0.01604182,0.0187501466666666,0,0,0,0,0,0,0,0,-0.0097396266666666,-0.0105729866666666,-0.0115105666666666,-0.0093750766666666,-0.00979171,-0.0088542066666666,-0.0095313066666666,-0.0090104866666666,9.812550500000008,8.664126500000002,7.875040999999991,6.687516999999993,3.992218500000003,3.5937750000000017,2.406273000000001,2.8125220000000017,53,49,55,51,24,20,6,11,0.6192100275364998,0.4889612696600002,0.3623694805350002,0.22717228127975,0.1068125000172501,0.085694343757,0.0463263789124999,0.0545051992254999,5
