electrode_1_mean_absolute_value,electrode_2_mean_absolute_value,electrode_3_mean_absolute_value,electrode_4_mean_absolute_value,electrode_5_mean_absolute_value,electrode_6_mean_absolute_value,electrode_7_mean_absolute_value,electrode_8_mean_absolute_value
-0.008958436666666668,-0.010000043333333333,-0.010677183333333333,-0.009583413333333332,-0.009531313333333333,-0.00947924,-0.008802126666666667,-0.009687563333333333
-0.01000002,-0.009270913333333332,-0.009739673333333334,-0.009375063333333333,-0.009947963333333334,-0.008906326666666667,-0.008593813333333334,-0.00963548
-0.008958373333333334,-0.009531266666666666,-0.011041693333333335,-0.00968758,-0.009947986666666665,-0.009322993333333333,-0.008854183333333333,-0.007864613333333333
-0.00822925,-0.00937504,-0.01072928,-0.0094272,-0.00994798,-0.009427119999999999,-0.008541710000000001,-0.008958393333333333
-0.009687523333333333,-0.00916671,-0.009270896666666667,-0.00973968,-0.009479246666666667,-0.00953127,-0.009531343333333333,-0.009010510000000001
-0.008958456666666668,-0.009583376666666667,-0.010052086666666666,-0.01000007,-0.009166733333333333,-0.009218829999999999,-0.0094792,-0.009479239999999998
-0.009322956666666667,-0.009843880000000001,-0.010520956666666668,-0.009114646666666667,-0.010052156666666666,-0.009635493333333332,-0.009531293333333331,-0.00901047
-0.009427096666666666,-0.009322973333333333,-0.010364646666666666,-0.00963551,-0.010000066666666666,-0.00921881,-0.008593813333333334,-0.008854213333333335
-0.009062626666666667,-0.010364729999999999,-0.010625076666666667,-0.00947926,-0.009739676666666667,-0.010052176666666664,-0.009166726666666666,-0.008802113333333335
-0.008906309999999999,-0.009322976666666666,-0.010208393333333333,-0.009739643333333332,-0.009322983333333333,-0.0089584,-0.009739643333333332,-0.008906299999999999
-0.009427233333333333,-0.009427186666666669,-0.010312543333333334,-0.00885425,-0.00937506,-0.009635496666666667,-0.009270916666666669,-0.008906316666666666
-0.008750079999999999,-0.009739656666666666,-0.010781366666666669,-0.009166740000000001,-0.009791719999999999,-0.009635476666666667,-0.00932299,-0.0085938
-0.009322893333333334,-0.00947921,-0.010781303333333334,-0.00911463,-0.009687586666666666,-0.009010476666666666,-0.008697976666666666,-0.00911465
-0.008072976666666665,-0.010260456666666666,-0.009843836666666666,-0.008750069999999999,-0.009375073333333333,-0.009895866666666668,-0.0092188,-0.008541710000000001
-0.00916673,-0.009218783333333334,-0.010677156666666666,-0.01015633,-0.009218803333333333,-0.009427146666666667,-0.009218796666666666,-0.008958383333333335
-0.009531246666666666,-0.01005212,-0.010416719999999999,-0.009062593333333334,-0.009843816666666666,-0.009114633333333334,-0.009166716666666668,-0.008958376666666667
-0.008802143333333333,-0.009687593333333334,-0.009843796666666666,-0.009166716666666666,-0.010468823333333332,-0.00947925,-0.009635486666666667,-0.009062530000000001
-0.009010483333333335,-0.01062517,-0.010520916666666666,-0.009635516666666667,-0.009583396666666667,-0.009114666666666667,-0.0102084,-0.00942714
-0.00890643,-0.01062507,-0.011979256666666665,-0.009687553333333331,-0.009583406666666667,-0.00968757,-0.008854196666666666,-0.009166676666666667
-0.009479166666666667,-0.008750113333333333,-0.009635466666666667,-0.009166733333333333,-0.009583406666666667,-0.009583406666666665,-0.008697973333333333,-0.00901045
-0.00843753,-0.010208400000000001,-0.009947949999999999,-0.009010483333333335,-0.009687590000000001,-0.00932301,-0.009375143333333332,-0.00895838
-0.009374973333333333,-0.009843803333333335,-0.010208356666666666,-0.009947993333333332,-0.010052156666666666,-0.009739646666666667,-0.00911463,-0.009270896666666667
-0.009427123333333332,-0.009531306666666668,-0.01072925,-0.00968758,-0.0096355,-0.009375053333333333,-0.009583409999999999,-0.009843796666666666
-0.009270849999999999,-0.00927089,-0.010416710000000001,-0.01015629,-0.009479243333333333,-0.009687546666666666,-0.00921881,-0.008906306666666666
-0.009531306666666666,-0.010156316666666667,-0.010468773333333332,-0.009427166666666667,-0.009791716666666667,-0.009687553333333333,-0.009270903333333334,-0.008854226666666666
-0.008177153333333334,-0.009270883333333334,-0.01010424,-0.00963548,-0.010104236666666667,-0.009739646666666667,-0.008906293333333334,-0.008906293333333334
-0.009843836666666666,-0.00989594,-0.011197983333333333,-0.009479236666666668,-0.010104266666666665,-0.010104236666666665,-0.008645883333333333,-0.009114636666666667
-0.01000006,-0.010000046666666667,-0.01036468,-0.008697943333333335,-0.010208403333333331,-0.009062516666666666,-0.0086459,-0.00885421
-0.008281253333333334,-0.00895844,-0.009479149999999999,-0.010572993333333332,-0.009739663333333332,-0.01010423,-0.009114656666666667,-0.009166716666666665
-0.00968756,-0.009375099999999999,-0.010416766666666667,-0.009322983333333333,-0.00984381,-0.009375086666666668,-0.00895845,-0.009791716666666667
-0.008854263333333333,-0.009895923333333332,-0.010989756666666666,-0.010052203333333332,-0.009843833333333333,-0.009739603333333333,-0.009427076666666666,-0.009687566666666668
-0.009062723333333335,-0.00973963333333333,-0.010573076666666665,-0.008906276666666667,-0.009218813333333332,-0.008750043333333334,-0.009010429999999998,-0.008906309999999999
-0.00968751,-0.01020833,-0.010833413333333335,-0.009323006666666668,-0.009010483333333335,-0.009583386666666667,-0.00953131,-0.009166736666666666
-0.008854196666666668,-0.009322986666666668,-0.01046899,-0.009687526666666665,-0.009531313333333333,-0.010052160000000001,-0.009166743333333333,-0.008541739999999999
-0.008854183333333333,-0.010416789999999999,-0.010729256666666668,-0.009739623333333332,-0.009270906666666669,-0.009843803333333331,-0.009895910000000003,-0.008697956666666666
-0.009635536666666666,-0.010000150000000001,-0.009687586666666666,-0.009427143333333332,-0.009895913333333334,-0.008697976666666666,-0.00880213,-0.00885421
-0.009479240000000002,-0.01020841,-0.010729240000000001,-0.009843823333333333,-0.010312566666666667,-0.009583446666666667,-0.009479266666666668,-0.00895842
-0.009062516666666668,-0.01010417,-0.011197980000000001,-0.00921884,-0.00979173,-0.009843826666666666,-0.009375053333333333,-0.00927091
-0.009114549999999999,-0.009739603333333333,-0.00953125,-0.009739676666666667,-0.009843836666666666,-0.009843803333333333,-0.00843755,-0.009375083333333332
-0.009791696666666665,-0.010677183333333333,-0.009635513333333331,-0.009427156666666665,-0.009947996666666665,-0.009843800000000002,-0.009895886666666666,-0.009166743333333333
-0.009687516666666668,-0.009739593333333334,-0.010468866666666668,-0.009166733333333333,-0.01036464,-0.00911468,-0.008489626666666666,-0.008333420000000001
-0.010520916666666666,-0.009479276666666668,-0.009739656666666667,-0.009375073333333333,-0.009843826666666666,-0.00921873,-0.00927089,-0.010000100000000001
-0.009531300000000001,-0.010208449999999999,-0.009375003333333333,-0.009531283333333335,-0.00885423,-0.009427083333333334,-0.008333366666666665,-0.009062553333333334
-0.009791866666666668,-0.0102605,-0.010989523333333334,-0.010729226666666666,-0.010104246666666665,-0.009479213333333333,-0.009010473333333333,-0.009375066666666668
-0.009062599999999999,-0.009843843333333335,-0.008281283333333334,-0.010312573333333333,-0.009739643333333332,-0.008906303333333334,-0.008281306666666665,-0.00921882
-0.008750059999999999,-0.009947956666666667,-0.010781306666666665,-0.009791663333333332,-0.010052153333333334,-0.009687550000000001,-0.00921878,-0.009375023333333333
-0.008698023333333334,-0.010104276666666667,-0.011354340000000001,-0.009427156666666669,-0.01000008,-0.009635503333333333,-0.008802133333333333,-0.009166763333333333
-0.008854183333333333,-0.00942715,-0.009739673333333334,-0.008906306666666666,-0.009531300000000001,-0.009739623333333332,-0.008645873333333333,-0.009010476666666666
-0.009218796666666666,-0.010468923333333335,-0.011250033333333333,-0.00911461,-0.009791746666666667,-0.009270903333333332,-0.00932298,-0.008958389999999998
-0.009270906666666669,-0.009531280000000001,-0.00906254,-0.009114643333333334,-0.009635473333333333,-0.009739633333333334,-0.008958406666666667,-0.009062563333333334
-0.009948006666666667,-0.01005219,-0.011562593333333334,-0.00937508,-0.010052163333333333,-0.009895886666666666,-0.008854220000000001,-0.009531286666666666
-0.00859377,-0.009791786666666665,-0.009218746666666666,-0.009635496666666667,-0.00963547,-0.00963547,-0.008958389999999998,-0.009322983333333333
