electrode_1_mean_absolute_value,electrode_2_mean_absolute_value,electrode_3_mean_absolute_value,electrode_4_mean_absolute_value,electrode_5_mean_absolute_value,electrode_6_mean_absolute_value,electrode_7_mean_absolute_value,electrode_8_mean_absolute_value
-0.009531296666666668,-0.009323013333333333,-0.011614620000000003,-0.008697976666666666,-0.009583383333333334,-0.00906252,-0.008229173333333338,-0.009218793333333334
-0.009218800000000001,-0.009583303333333333,-0.010416713333333334,-0.009062573333333334,-0.009895919999999999,-0.009010483333333335,-0.007812476666666668,-0.009427103333333332
-0.009270903333333334,-0.00994796,-0.0108335,-0.009218773333333334,-0.009843826666666666,-0.00979168,-0.009062363333333332,-0.00958342
-0.009687573333333335,-0.009895860000000001,-0.01098968,-0.009270886666666665,-0.009479216666666668,-0.009375043333333333,-0.00880218,-0.009010483333333335
-0.009270889999999999,-0.008802126666666667,-0.009583396666666667,-0.009218786666666666,-0.009895903333333332,-0.009427083333333334,-0.008593876666666667,-0.008854226666666666
-0.009062576666666666,-0.009687573333333333,-0.011041829999999999,-0.009270866666666665,-0.010052163333333333,-0.009375073333333333,-0.008698036666666669,-0.008906296666666667
-0.009166726666666666,-0.009531313333333333,-0.010468816666666667,-0.01026045,-0.010572986666666666,-0.010052143333333333,-0.009114656666666667,-0.009687556666666668
-0.00937506,-0.009739676666666667,-0.010260463333333334,-0.008906309999999999,-0.009635506666666667,-0.009687543333333333,-0.008489440000000001,-0.008281306666666667
-0.00937507,-0.009531306666666666,-0.009218816666666668,-0.009166763333333333,-0.009479213333333333,-0.00963546,-0.008750126666666667,-0.009166736666666666
-0.009583416666666667,-0.01010423,-0.010416776666666665,-0.00880217,-0.009114636666666667,-0.008958393333333333,-0.009739686666666665,-0.009166736666666666
-0.00890632,-0.009739676666666667,-0.010052130000000001,-0.009218793333333334,-0.009635473333333333,-0.009062573333333334,-0.008958346666666667,-0.008854233333333334
-0.009323,-0.008593826666666665,-0.010052153333333334,-0.00921882,-0.009791723333333332,-0.009739646666666667,-0.008802316666666667,-0.00848963
-0.008750063333333334,-0.010208423333333333,-0.00947917,-0.009739683333333332,-0.00984381,-0.008750059999999999,-0.009791686666666667,-0.00901047
-0.009479216666666665,-0.0095834,-0.009583383333333332,-0.009114659999999998,-0.009948,-0.0095834,-0.008958453333333333,-0.008958383333333335
-0.008489663333333335,-0.009895890000000001,-0.010000063333333333,-0.009427153333333334,-0.010052150000000001,-0.009427113333333332,-0.009270833333333334,-0.009479206666666667
-0.008906326666666665,-0.009375056666666668,-0.009947963333333334,-0.008593763333333332,-0.00984382,-0.008333376666666666,-0.0096355,-0.009843806666666666
-0.00895842,-0.009895893333333333,-0.010312596666666665,-0.009010496666666666,-0.009427163333333332,-0.009218806666666668,-0.009739783333333333,-0.009166686666666667
-0.009114643333333334,-0.009895916666666666,-0.00973957,-0.009010403333333335,-0.009739653333333332,-0.009479226666666667,-0.008593863333333335,-0.00859381
-0.009687556666666668,-0.010520933333333333,-0.009948050000000002,-0.009635493333333332,-0.009427139999999999,-0.00958338,-0.009531373333333336,-0.008854216666666668
-0.010156333333333333,-0.009114656666666667,-0.01052083,-0.010156313333333333,-0.009635486666666667,-0.00937504,-0.008750266666666668,-0.008541693333333334
-0.009687556666666668,-0.009531363333333332,-0.010729183333333333,-0.009531323333333334,-0.010364656666666666,-0.00880213,-0.00916687,-0.009427119999999999
-0.009270889999999999,-0.009218829999999999,-0.01057297,-0.009843820000000001,-0.00953133,-0.0089584,-0.009531326666666668,-0.008906303333333334
-0.008750049999999999,-0.009791783333333332,-0.010156340000000002,-0.00911467,-0.009948,-0.009270866666666667,-0.008906333333333334,-0.009635453333333332
-0.00885422,-0.009531316666666668,-0.009479216666666668,-0.0092188,-0.010520916666666666,-0.009427106666666667,-0.009895706666666667,-0.009531326666666666
-0.009739639999999999,-0.010573016666666666,-0.011770906666666666,-0.009427186666666667,-0.009687573333333333,-0.01036466,-0.010208336666666666,-0.00869797
-0.008854216666666666,-0.009948010000000002,-0.010781233333333334,-0.00973965,-0.010208413333333333,-0.008906289999999999,-0.009062486666666668,-0.009427136666666669
-0.008958409999999998,-0.010000083333333333,-0.010364723333333332,-0.009479226666666668,-0.010312566666666665,-0.009479226666666667,-0.008854166666666668,-0.008958403333333333
-0.009166723333333333,-0.010364666666666666,-0.010000013333333332,-0.009270876666666667,-0.010572989999999999,-0.009218816666666668,-0.009114696666666668,-0.009010476666666666
-0.009739666666666667,-0.010052146666666666,-0.009948023333333333,-0.009322983333333333,-0.009635466666666669,-0.00932299,-0.01010414,-0.00932299
