electrode_1_mean_absolute_value,electrode_2_mean_absolute_value,electrode_3_mean_absolute_value,electrode_4_mean_absolute_value,electrode_5_mean_absolute_value,electrode_6_mean_absolute_value,electrode_7_mean_absolute_value,electrode_8_mean_absolute_value
-0.009635409999999999,-0.01078132,-0.010625080000000002,-0.010156326666666667,-0.010572956666666666,-0.009218813333333332,-0.009687583333333333,-0.009166723333333333
-0.01020832,-0.009635453333333332,-0.010104223333333332,-0.00890623,-0.009687583333333333,-0.009791756666666667,-0.009635490000000002,-0.009062559999999999
-0.008906273333333334,-0.009583550000000001,-0.01031254,-0.009427143333333332,-0.009531306666666666,-0.00958344,-0.00885423,-0.008958386666666665
-0.008854253333333334,-0.0095834,-0.009791846666666664,-0.009114666666666667,-0.010312526666666667,-0.009323,-0.009062556666666666,-0.009270883333333334
-0.00885413,-0.009687476666666667,-0.010573046666666669,-0.00890634,-0.00979173,-0.009375096666666667,-0.00885422,-0.009739633333333332
-0.009427246666666667,-0.01005219,-0.01057284,-0.009323016666666668,-0.009895906666666668,-0.009270896666666667,-0.008541733333333334,-0.009114626666666667
-0.009948,-0.009948,-0.010104243333333335,-0.009843796666666666,-0.009322933333333333,-0.009791706666666667,-0.009479206666666667,-0.009218810000000001
-0.009375103333333332,-0.01046884,-0.010572966666666668,-0.009583399999999999,-0.009843813333333333,-0.009270913333333332,-0.00911465,-0.009270883333333334
-0.008749936666666666,-0.009375033333333333,-0.010833466666666666,-0.008750026666666667,-0.011354236666666668,-0.010156320000000002,-0.00890632,-0.008177130000000001
-0.009739626666666668,-0.010572986666666666,-0.011510566666666666,-0.009375076666666668,-0.00979171,-0.008854206666666668,-0.009531306666666666,-0.009010486666666666
-0.008645943333333335,-0.009895706666666667,-0.009427126666666667,-0.008593796666666667,-0.009479226666666667,-0.01026049,-0.00859379,-0.00906255
-0.009739753333333333,-0.009895873333333333,-0.011041853333333332,-0.009322996666666666,-0.00989592,-0.009427080000000001,-0.009375086666666668,-0.00885419
-0.010208353333333333,-0.009947893333333334,-0.010572943333333333,-0.008385393333333333,-0.009114643333333334,-0.00947923,-0.00916673,-0.00843754
-0.009843766666666667,-0.011146056666666666,-0.010989596666666667,-0.010052166666666666,-0.00932297666666667,-0.009427113333333332,-0.009270913333333332,-0.008958396666666667
-0.009270976666666667,-0.008333353333333333,-0.010156273333333334,-0.009531306666666666,-0.009323003333333333,-0.009583403333333332,-0.00901045,-0.009010446666666666
-0.00916671,-0.00937495,-0.01041666,-0.009843893333333334,-0.009687573333333331,-0.009375030000000001,-0.008697986666666668,-0.0089063
-0.009843776666666667,-0.009739786666666667,-0.010885536666666668,-0.009739646666666667,-0.009791756666666667,-0.008802113333333335,-0.00937506,-0.0095834
-0.009062506666666668,-0.009791756666666667,-0.011041863333333334,-0.0091667,-0.010104239999999999,-0.010000046666666667,-0.009427139999999999,-0.00963549
-0.008073,-0.009479276666666668,-0.009114613333333334,-0.010000056666666667,-0.009427193333333334,-0.00963544,-0.009895896666666666,-0.008645896666666666
-0.008958429999999998,-0.009843776666666667,-0.009843673333333332,-0.009583383333333334,-0.009739683333333332,-0.00937507,-0.008906306666666666,-0.009010486666666668
-0.009687489999999998,-0.00937507666666667,-0.010625013333333332,-0.009635473333333333,-0.009218780000000001,-0.009010453333333333,-0.008645913333333333,-0.008958383333333335
-0.009010573333333334,-0.010729346666666667,-0.01083353,-0.01026046,-0.010156310000000002,-0.009791726666666667,-0.008802146666666667,-0.00937506
-0.009531333333333333,-0.009270876666666665,-0.010833223333333333,-0.009687653333333334,-0.009427173333333334,-0.009583379999999999,-0.008697990000000001,-0.009270893333333334
-0.009322926666666669,-0.009531259999999998,-0.010416766666666665,-0.00984385,-0.009947983333333332,-0.009375036666666668,-0.009479246666666668,-0.008906306666666667
-0.009635346666666668,-0.010468833333333333,-0.011197953333333333,-0.009479216666666668,-0.009531293333333333,-0.009843840000000001,-0.0092709,-0.008385456666666666
-0.010000103333333333,-0.010729326666666667,-0.010677163333333335,-0.009583446666666667,-0.010573036666666666,-0.00937508,-0.009583389999999999,-0.00937507
-0.008437593333333335,-0.008906406666666668,-0.011197886666666665,-0.009947966666666667,-0.010052113333333331,-0.010208370000000001,-0.009062553333333334,-0.008385476666666666
-0.009583480000000004,-0.01010419,-0.009895963333333334,-0.010312573333333335,-0.009895926666666666,-0.00875008,-0.009375086666666666,-0.008958386666666667
-0.010260680000000001,-0.00937496,-0.010937516666666666,-0.009322943333333333,-0.009062526666666668,-0.00911467,-0.009114653333333333,-0.009531346666666668
-0.01046885,-0.011041786666666666,-0.010937463333333335,-0.009583383333333334,-0.008958446666666668,-0.008958413333333333,-0.009375066666666668,-0.009895916666666666
-0.009270833333333334,-0.009374989999999998,-0.01135428,-0.008697966666666668,-0.009479226666666667,-0.008750069999999999,-0.008906306666666666,-0.00942717
-0.009270736666666668,-0.009739636666666667,-0.01010428,-0.009218753333333335,-0.009791713333333332,-0.009114599999999999,-0.009270876666666667,-0.008854196666666666
-0.009843763333333332,-0.0099481,-0.010468816666666665,-0.010208453333333332,-0.009427206666666667,-0.009635473333333332,-0.00937508,-0.009375066666666668
-0.010729193333333331,-0.009635516666666667,-0.010572993333333336,-0.009010486666666668,-0.010468836666666667,-0.009270859999999999,-0.009375086666666668,-0.009062579999999999
-0.009531263333333333,-0.009375073333333333,-0.010781256666666666,-0.009166713333333335,-0.0096355,-0.009583406666666667,-0.009531326666666666,-0.009791733333333334
-0.009323076666666666,-0.008958253333333334,-0.008749913333333333,-0.009687603333333333,-0.00963547,-0.00901048,-0.008958403333333335,-0.008750036666666666
-0.009218886666666669,-0.01067707,-0.00999997,-0.009427086666666668,-0.010468916666666666,-0.009687483333333333,-0.009635493333333332,-0.008958369999999998
-0.008854050000000002,-0.00953128,-0.010052086666666666,-0.009375136666666666,-0.009843863333333334,-0.009895903333333334,-0.009375066666666668,-0.009114639999999999
