electrode_1_willison_amplitude,electrode_2_willison_amplitude,electrode_3_willison_amplitude,electrode_4_willison_amplitude,electrode_5_willison_amplitude,electrode_6_willison_amplitude,electrode_7_willison_amplitude,electrode_8_willison_amplitude
16,12,16,7,1,8,9,11
21,27,36,9,6,15,17,12
18,25,31,10,9,17,17,11
28,25,32,23,8,16,13,8
21,21,19,22,7,14,19,13
25,25,27,20,3,15,15,11
22,27,18,15,4,16,11,9
23,18,26,26,2,8,4,6
12,14,26,22,3,11,11,7
21,17,26,16,1,11,17,7
17,14,25,13,3,14,20,8
22,22,26,17,3,12,11,9
20,17,12,11,6,15,10,3
11,13,19,13,1,9,4,1
22,12,25,17,1,9,6,3
17,18,38,14,0,6,2,4
31,20,16,16,9,17,20,12
39,27,17,13,3,6,10,8
34,26,27,19,8,13,15,14
39,24,18,13,1,6,6,11
42,47,36,24,4,15,16,10
36,32,32,21,1,10,4,4
19,16,24,15,1,8,7,10
21,16,59,35,2,19,13,6
33,21,37,33,4,14,12,9
34,22,30,20,1,6,7,3
34,22,29,24,0,5,7,2
25,28,30,33,7,12,9,5
35,36,48,21,1,12,11,9
34,22,33,24,10,19,13,6
34,42,48,31,6,12,14,7
45,40,57,26,2,13,12,12
37,27,44,19,0,8,8,6
54,42,61,31,1,7,10,7
38,45,40,21,6,8,8,5
51,40,58,26,1,7,7,9
51,33,55,18,5,12,16,9
42,37,59,18,2,6,11,5
40,33,54,17,5,16,15,11
48,37,51,24,8,18,16,14
41,37,49,28,4,8,11,7
51,43,48,22,8,18,14,9
51,38,47,29,3,14,16,10
37,21,42,22,1,10,8,3
34,30,59,14,2,2,5,2
38,28,54,23,5,12,13,9
38,32,58,21,2,13,12,9
35,24,36,20,1,12,12,2
43,34,79,23,2,12,5,3
36,32,57,14,2,14,14,7
51,38,71,24,1,7,6,8
41,34,55,22,6,18,17,10
35,25,49,13,0,3,7,2
35,33,64,25,1,18,15,8
30,20,64,17,3,8,5,5
39,31,62,20,1,11,10,4
27,35,54,22,1,6,6,10
37,32,46,27,5,12,9,8
41,33,68,24,6,16,13,10
46,51,67,33,2,9,11,9
42,41,61,30,8,20,21,16
49,49,54,34,2,11,10,8
32,34,55,19,3,13,9,6
51,41,47,19,2,11,10,6
30,41,51,20,1,14,11,6
48,38,42,24,3,14,24,16
43,34,62,16,2,12,9,2
46,39,58,19,6,11,13,3
51,40,60,18,1,10,15,7
41,36,55,25,4,9,8,5
50,47,57,23,4,7,7,8
38,46,65,27,5,14,14,7
41,44,63,20,5,7,9,3
43,46,56,17,4,9,9,6
32,38,74,19,8,14,15,11
44,57,66,17,1,14,13,4
