electrode_1_willison_amplitude,electrode_2_willison_amplitude,electrode_3_willison_amplitude,electrode_4_willison_amplitude,electrode_5_willison_amplitude,electrode_6_willison_amplitude,electrode_7_willison_amplitude,electrode_8_willison_amplitude
7,11,68,35,2,16,39,13
11,33,69,31,6,9,46,11
8,34,72,44,2,20,51,12
5,15,58,52,0,12,53,16
3,20,64,51,8,14,30,6
3,5,65,45,4,8,46,10
4,6,50,27,1,15,45,17
7,3,64,34,2,21,54,13
2,0,51,31,3,14,42,17
4,4,56,31,1,6,40,17
1,1,48,26,4,2,42,5
1,0,63,27,0,16,50,12
3,2,47,36,3,3,45,9
8,3,56,28,3,11,47,8
0,0,56,24,0,11,55,19
3,3,62,26,6,6,49,15
0,8,60,42,2,10,38,8
3,6,46,38,3,15,33,13
2,1,52,25,2,15,40,12
2,1,62,31,1,19,55,12
2,2,46,24,1,8,54,11
0,7,63,29,2,14,59,15
4,2,45,37,1,13,57,14
5,4,57,23,3,12,62,16
2,2,65,30,0,13,67,11
1,1,63,36,0,16,72,18
0,3,50,25,1,18,64,10
2,1,73,24,0,11,82,19
1,3,60,38,4,11,86,8
4,6,52,28,0,8,64,15
8,13,52,32,1,13,54,10
1,3,76,27,5,16,68,16
0,4,48,38,0,15,65,13
4,13,56,26,3,12,56,6
1,10,60,36,1,8,58,11
1,1,68,35,0,18,61,16
2,9,64,35,0,18,71,14
5,16,58,21,0,13,61,13
1,19,68,31,1,15,74,13
2,0,45,28,0,13,64,16
1,5,57,36,1,15,65,12
0,4,48,35,0,6,70,5
1,2,65,26,2,16,60,16
5,4,79,28,0,11,72,17
2,9,46,25,0,10,75,16
1,12,57,33,2,15,57,11
2,6,38,29,2,14,41,8
1,11,62,30,2,12,65,7
1,9,57,31,1,12,49,21
2,5,59,24,0,15,58,12
6,13,60,45,5,9,41,10
2,7,53,34,1,5,51,10
6,20,50,29,2,9,47,11
2,9,51,31,1,21,61,12
6,5,44,22,4,9,46,17
4,13,62,30,2,7,54,8
9,29,58,22,0,10,56,11
3,12,51,29,0,11,51,7
0,3,56,29,2,12,49,10
5,16,41,33,1,3,44,9
1,29,48,35,2,12,57,20
5,22,49,30,4,11,50,10
7,19,57,38,2,12,48,11
4,41,55,42,1,9,48,10
7,30,57,36,2,8,41,10
11,48,54,38,2,8,42,12
14,63,69,44,4,8,57,13
11,40,55,39,5,16,57,13
6,48,54,35,2,14,61,24
3,32,56,30,0,11,52,12
6,40,59,34,3,16,51,21
2,34,62,43,1,7,61,14
4,24,54,26,2,13,52,13
0,15,64,24,1,15,59,13
4,1,54,20,0,12,48,14
7,16,50,25,3,8,56,16
1,1,54,27,0,13,58,21
2,2,48,13,1,9,43,7
5,20,46,22,1,6,45,6
8,44,62,31,2,21,59,22
5,34,67,27,1,18,49,24
8,31,68,44,3,14,50,15
6,34,59,36,8,20,53,23
6,36,64,32,1,13,53,14
14,44,75,42,8,19,50,11
6,36,61,29,2,15,39,16
5,41,64,40,3,17,45,14
5,57,60,37,2,14,52,11
10,34,62,44,8,18,54,21
11,40,63,33,5,13,39,26
2,42,77,36,5,13,57,13
19,53,70,29,2,11,37,15
7,25,43,41,5,13,42,14
8,18,59,35,2,8,45,13
4,22,61,38,0,17,45,8
1,30,55,49,2,10,42,16
4,28,58,24,1,10,48,9
2,16,52,17,1,16,55,20
1,9,51,32,3,13,54,7
8,17,53,36,3,16,55,12
8,14,57,23,1,17,46,8
5,23,58,33,2,22,55,15
7,25,41,19,4,24,59,17
2,21,62,49,4,18,55,14
4,12,58,31,5,11,43,12
14,31,57,40,9,12,49,12
4,24,65,38,6,12,46,15
2,18,68,39,6,9,43,13
6,34,62,42,4,15,46,21
4,26,61,34,2,16,44,17
1,20,60,19,1,10,53,14
3,30,60,35,1,22,57,19
8,62,46,19,3,6,41,8
29,70,59,33,6,24,49,13
10,27,46,13,7,20,34,17
9,36,29,18,8,14,41,14
6,12,27,5,3,9,33,16
7,24,29,12,4,15,41,18
11,26,32,14,9,17,45,21
4,11,5,6,4,17,50,16
4,8,13,11,6,15,41,15
6,34,16,7,5,15,49,19
7,22,15,5,1,19,54,20
4,10,11,5,1,9,40,19
2,12,13,8,5,8,59,14
2,15,21,10,2,10,54,13
7,17,11,6,5,17,60,21
1,5,10,6,1,7,48,11
1,10,8,5,1,7,43,11
2,12,8,3,1,4,50,16
1,21,11,6,2,20,47,9
6,18,26,5,4,14,45,7
3,23,9,10,5,14,40,12
11,20,7,5,8,15,51,22
0,14,14,1,2,11,43,7
8,28,11,6,6,25,62,21
7,20,15,4,3,12,48,13
0,17,15,4,1,13,67,14
6,14,11,6,3,16,60,20
2,30,12,5,2,12,53,16
4,14,17,16,4,12,46,13
5,14,17,7,2,12,56,18
2,8,20,9,2,22,61,11
5,3,19,5,0,8,61,12
1,7,17,5,4,7,65,7
3,23,8,0,1,25,76,26
4,21,2,3,4,9,58,11
2,24,10,3,2,12,66,18
1,26,11,2,0,19,52,20
5,18,14,11,3,11,61,14
2,26,15,6,2,15,61,17
4,20,6,0,1,11,47,21
3,47,11,3,1,15,63,17
15,47,17,11,3,18,60,21
3,25,25,9,0,17,67,12
6,16,21,7,3,16,70,17
2,20,21,9,2,13,69,13
2,18,23,10,2,15,72,21
13,38,26,10,3,13,68,17
5,27,35,10,3,16,62,16
9,31,35,6,4,15,69,20
5,22,22,8,1,16,54,15
18,45,30,7,8,16,58,20
12,52,28,5,1,10,60,17
4,18,18,8,5,14,62,22
6,32,18,11,3,18,51,20
3,14,19,9,5,17,53,21
14,30,10,7,15,16,59,15
