electrode_1_willison_amplitude,electrode_2_willison_amplitude,electrode_3_willison_amplitude,electrode_4_willison_amplitude,electrode_5_willison_amplitude,electrode_6_willison_amplitude,electrode_7_willison_amplitude,electrode_8_willison_amplitude
15,37,32,16,23,34,21,5
16,39,48,30,26,45,16,5
25,41,23,13,20,34,24,1
13,41,40,18,11,29,26,9
15,44,52,13,11,26,16,5
22,45,16,9,14,38,16,7
13,42,20,14,20,42,22,9
9,25,5,13,17,32,19,6
4,41,29,5,17,41,23,1
11,38,20,14,18,44,26,3
9,47,30,13,18,44,26,3
21,37,17,15,33,42,25,10
13,37,13,14,20,52,33,2
8,19,5,7,16,36,26,5
7,30,7,8,16,30,27,4
16,26,13,8,22,34,26,10
13,46,7,11,12,34,17,5
11,43,11,6,18,30,19,5
5,30,2,3,13,24,12,0
8,49,14,7,16,33,24,0
11,57,26,1,12,27,25,6
12,76,35,6,10,29,20,7
13,46,28,4,13,37,20,3
6,42,27,6,19,46,26,3
7,55,22,2,14,31,23,1
5,33,34,2,17,33,23,4
8,50,17,3,12,28,13,0
7,57,20,2,16,30,23,1
1,65,20,7,13,28,18,1
9,48,8,4,10,35,24,6
6,47,20,3,10,35,15,4
18,59,23,3,11,27,17,0
3,59,37,2,12,43,21,2
4,29,23,3,11,30,21,1
7,59,17,8,21,37,25,3
3,44,40,3,16,42,34,3
5,59,31,7,17,34,18,0
14,54,41,16,17,39,20,11
14,55,18,9,17,43,18,7
5,41,23,4,18,34,27,2
6,53,38,2,16,39,26,0
7,41,27,8,20,29,19,2
9,49,21,11,22,35,25,4
16,51,31,7,23,39,19,7
5,31,23,4,13,27,26,4
5,29,4,6,21,39,25,0
2,48,36,4,12,35,19,1
7,32,3,4,21,40,17,7
8,33,7,6,23,32,25,4
5,45,13,5,19,42,28,2
24,56,33,15,17,50,24,14
6,38,4,0,13,27,20,2
8,33,8,1,10,38,16,1
4,31,6,8,10,33,32,1
15,29,9,3,16,28,31,4
6,42,7,4,15,29,25,0
8,39,18,6,14,32,28,4
8,28,7,2,12,26,12,1
10,41,5,2,17,36,24,2
5,35,3,3,13,30,18,3
8,39,5,9,16,29,21,3
5,37,13,5,15,45,18,8
5,56,17,4,21,48,18,1
7,37,10,10,13,35,18,5
8,9,3,4,16,41,21,2
10,32,38,27,10,37,26,5
5,27,22,19,16,38,24,3
10,20,22,16,12,32,21,2
4,27,18,9,21,37,24,7
10,45,25,9,19,44,16,2
10,22,19,16,20,36,22,4
7,34,19,14,11,35,22,3
4,22,13,16,17,29,22,3
6,15,9,5,19,41,23,3
3,30,28,16,9,33,28,1
10,35,31,16,16,33,25,4
5,18,41,16,8,27,18,3
4,28,35,14,20,32,20,1
10,37,35,14,23,39,22,4
6,31,37,14,14,28,21,2
7,36,44,7,17,31,22,2
6,36,30,12,19,30,26,2
8,30,24,10,12,34,25,3
4,45,38,9,9,35,22,3
7,36,36,15,24,48,27,6
4,33,25,14,15,34,12,3
14,27,24,5,11,35,18,4
6,34,10,3,15,29,23,4
11,44,8,2,15,34,21,6
17,38,20,1,13,31,30,5
6,38,22,6,17,36,19,3
9,42,20,3,15,31,19,3
13,44,13,6,23,41,27,7
9,47,14,6,19,45,24,1
10,35,26,14,21,34,30,3
9,48,20,12,16,37,23,5
5,57,16,2,7,31,24,3
9,41,11,4,12,36,32,4
18,47,20,13,18,41,24,9
6,47,22,6,9,32,36,3
12,46,14,4,12,33,32,3
10,59,22,2,13,35,23,4
8,38,14,6,18,35,28,1
12,57,16,5,18,44,22,9
9,40,40,5,16,32,16,0
