electrode_1_willison_amplitude,electrode_2_willison_amplitude,electrode_3_willison_amplitude,electrode_4_willison_amplitude,electrode_5_willison_amplitude,electrode_6_willison_amplitude,electrode_7_willison_amplitude,electrode_8_willison_amplitude
3,4,31,21,0,0,0,0
2,8,32,28,1,1,0,3
2,1,26,14,2,1,1,0
0,8,24,12,0,1,0,0
2,4,18,22,0,0,0,0
0,6,48,28,2,0,0,0
1,3,29,24,0,0,0,1
0,5,31,21,0,0,0,0
0,6,25,15,0,0,0,0
2,1,19,15,1,0,0,0
0,4,25,15,0,0,0,2
1,1,19,15,0,0,0,0
1,3,19,19,0,0,0,0
2,4,16,9,0,1,0,0
1,3,22,26,4,0,0,0
1,1,21,20,1,0,0,0
0,3,22,22,0,0,0,0
1,1,22,15,0,0,0,0
0,3,20,26,1,1,0,0
0,2,22,9,0,0,0,0
0,1,15,12,0,0,0,0
0,1,15,11,0,0,0,0
0,0,19,15,1,0,0,0
1,3,15,10,1,0,0,0
2,2,13,19,0,0,0,0
0,0,7,13,0,0,0,1
0,2,19,8,0,0,0,0
1,1,17,13,0,0,0,0
0,1,16,11,1,0,0,0
0,1,14,21,0,0,0,0
0,1,10,11,0,0,0,0
0,0,7,10,0,0,0,0
1,1,10,9,0,0,0,0
0,0,17,19,0,0,0,0
0,0,11,14,0,0,0,0
2,0,12,17,0,0,0,0
1,0,18,14,0,0,0,0
0,0,14,19,0,0,0,0
0,0,17,13,0,0,0,0
0,0,16,11,0,0,0,0
2,2,17,16,1,0,0,0
0,0,12,20,0,0,0,0
0,1,20,11,1,0,0,0
0,0,17,11,0,0,0,0
0,2,18,11,0,0,0,0
0,1,21,13,0,0,0,0
0,0,13,16,1,0,0,0
0,0,22,10,1,0,0,0
0,0,10,15,0,0,0,0
0,0,15,8,0,0,0,0
0,0,11,12,0,0,0,0
0,0,16,12,0,0,0,0
0,0,19,17,0,0,0,0
0,0,14,14,0,0,0,0
0,0,15,16,0,0,0,0
2,0,15,13,0,0,0,0
0,0,18,5,0,0,0,0
0,1,11,14,0,0,0,0
0,0,9,10,0,0,0,0
0,0,7,13,0,0,0,0
1,1,14,8,0,0,0,0
0,0,5,6,0,0,0,0
0,0,5,8,0,0,0,0
0,0,7,6,0,0,0,0
0,0,7,5,0,0,0,0
0,0,4,2,0,1,0,0
2,0,3,3,1,0,0,0
0,0,6,3,0,0,0,0
2,1,5,1,0,0,0,0
0,0,9,1,1,0,0,0
1,2,7,4,0,0,0,0
0,1,2,1,0,0,0,0
0,1,5,1,0,0,0,0
0,0,4,3,0,0,0,0
1,0,2,0,0,0,0,0
0,0,1,0,0,0,0,0
0,0,3,0,0,0,0,0
0,0,5,0,0,0,0,0
0,0,3,0,0,0,0,0
2,0,3,0,0,0,0,0
0,1,8,4,0,0,0,0
1,0,7,6,0,0,0,0
0,0,7,2,0,0,0,0
0,0,4,3,0,0,0,0
0,1,6,1,0,0,0,0
1,0,4,2,0,0,0,0
0,0,7,3,0,1,0,0
1,0,6,1,0,0,0,0
0,0,4,1,0,1,0,0
0,0,5,0,0,0,0,1
0,0,5,2,0,0,0,0
0,0,7,1,0,0,0,0
0,0,6,3,0,0,0,0
0,1,5,3,0,0,0,0
0,2,6,1,0,0,0,0
0,1,19,6,0,0,0,0
1,2,13,6,0,0,0,0
10,0,8,3,0,0,0,0
1,1,11,6,0,0,0,0
4,4,8,2,0,0,0,0
3,0,7,5,0,0,0,0
11,0,9,4,0,0,0,0
12,1,23,12,1,0,0,0
14,1,6,9,0,0,0,0
7,1,12,15,0,0,0,0
1,0,1,5,2,0,0,0
1,2,7,5,0,0,0,0
3,0,2,4,0,0,0,0
5,0,1,2,0,0,0,0
3,0,1,2,0,0,0,0
1,1,0,1,0,0,0,0
8,0,0,2,0,0,0,0
7,0,6,1,0,0,0,0
5,1,18,5,0,0,0,0
2,0,0,1,0,0,0,0
7,0,0,1,0,0,0,2
5,1,1,1,0,0,0,0
4,0,1,1,0,0,0,0
5,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0
0,0,8,1,0,0,0,0
0,0,0,0,0,0,0,0
0,2,1,0,0,0,0,0
2,2,0,1,0,0,0,0
1,2,0,0,0,0,0,0
2,0,1,0,0,0,0,0
1,0,1,1,0,0,0,0
1,0,0,3,0,0,0,0
2,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0
10,0,0,2,0,0,0,0
0,1,1,0,0,0,0,0
2,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0
0,2,0,0,0,0,0,0
2,1,0,0,1,0,0,0
0,4,1,0,0,0,0,0
3,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0
2,0,0,0,0,0,0,0
0,0,2,0,0,0,0,0
0,1,0,1,0,0,0,0
