electrode_1_willison_amplitude,electrode_2_willison_amplitude,electrode_3_willison_amplitude,electrode_4_willison_amplitude,electrode_5_willison_amplitude,electrode_6_willison_amplitude,electrode_7_willison_amplitude,electrode_8_willison_amplitude
27,49,68,31,12,46,71,28
31,94,57,25,6,51,98,22
21,35,59,34,7,46,85,23
35,66,49,24,10,43,78,20
34,83,80,35,15,66,96,30
11,32,50,29,11,49,95,27
24,48,48,26,10,41,99,30
23,69,63,36,15,50,111,32
16,34,72,45,4,38,83,26
27,67,72,30,17,43,77,24
41,96,71,35,9,39,66,28
49,86,83,35,18,40,81,35
23,56,60,28,13,52,78,28
18,60,76,40,9,34,69,23
20,58,50,31,13,46,73,34
19,70,65,23,3,48,105,24
17,42,74,26,8,49,84,30
18,36,65,45,4,59,104,24
18,50,63,37,6,62,103,30
8,19,70,39,2,42,109,16
21,57,54,32,2,53,99,25
5,28,55,35,9,61,118,27
7,23,46,25,9,53,107,22
17,50,59,36,4,45,95,18
23,68,61,30,7,39,78,29
21,46,66,31,8,52,97,19
36,66,67,40,14,51,85,18
43,92,76,42,12,57,94,33
34,80,67,30,1,47,88,32
41,70,83,34,13,54,100,26
18,59,57,32,5,43,108,19
25,59,74,36,6,43,91,18
39,76,66,38,6,59,99,30
27,69,57,35,3,49,105,23
15,50,76,35,1,54,105,18
45,92,80,41,11,53,106,24
34,70,65,34,8,40,77,24
31,59,66,29,2,47,105,29
31,75,74,33,7,39,88,23
21,57,54,35,6,54,97,28
29,66,70,40,9,44,84,32
39,83,67,34,9,49,84,28
33,65,78,44,12,49,88,29
14,65,63,34,7,56,99,21
15,42,65,33,5,51,112,25
40,76,62,40,10,50,97,30
29,88,72,24,4,45,100,31
37,103,89,37,8,50,95,36
28,82,67,42,6,40,92,27
40,88,86,46,5,47,107,26
40,97,84,40,5,55,109,38
27,78,69,31,4,46,106,25
44,97,85,52,6,43,103,28
42,99,78,41,10,53,102,27
18,65,66,37,3,53,122,24
21,67,67,30,7,52,104,27
21,75,47,23,7,51,102,31
33,77,47,19,10,40,90,35
21,69,64,18,7,61,114,29
37,86,80,50,11,48,100,27
30,66,65,34,4,45,114,30
27,61,56,36,7,46,101,24
24,64,58,22,12,38,81,22
13,40,63,33,4,43,102,23
21,82,72,33,11,43,109,25
24,78,68,25,3,44,89,25
30,88,89,37,4,45,91,27
20,69,74,34,6,42,88,21
29,95,54,30,10,47,93,42
11,52,41,33,9,49,108,31
59,115,75,53,13,48,81,41
25,73,62,37,9,34,96,34
9,57,55,26,6,35,99,31
7,68,63,37,4,37,95,35
23,84,55,29,1,31,99,22
14,65,64,24,4,46,99,29
23,63,65,22,0,35,85,24
23,68,68,26,6,44,95,30
26,97,78,31,4,31,95,30
15,72,56,30,2,50,106,35
33,109,61,29,1,56,116,36
13,63,62,36,2,52,121,37
19,78,73,35,0,45,123,29
28,91,68,26,1,52,121,44
21,84,64,30,3,49,119,36
15,95,64,24,0,38,101,29
12,71,74,25,6,50,115,27
13,71,49,14,2,48,118,27
15,93,52,14,1,35,102,22
18,100,39,19,6,52,117,34
8,48,41,11,1,38,112,25
21,83,36,17,3,35,88,34
13,62,55,18,2,43,112,33
23,93,47,19,1,37,81,36
32,89,66,30,7,54,112,51
7,29,33,15,5,36,117,30
11,90,42,13,6,47,114,36
16,81,51,15,5,55,122,40
24,100,63,19,1,43,112,28
34,99,79,38,4,50,99,47
27,83,56,32,5,40,117,39
27,83,64,27,5,42,72,27
27,82,68,41,5,39,94,30
29,109,69,20,7,45,109,36
33,77,68,21,14,62,92,44
14,50,44,15,5,62,107,38
26,72,45,20,12,63,107,38
33,82,58,29,7,63,114,33
24,70,58,26,6,53,113,29
20,63,61,30,5,59,126,39
32,87,90,47,11,60,120,36
23,98,80,26,10,70,118,39
29,74,68,28,6,50,108,24
19,57,66,21,7,47,89,24
28,78,60,17,7,49,98,28
31,90,76,26,10,45,87,27
39,106,71,33,11,47,101,36
25,92,73,32,16,53,84,33
17,70,76,26,4,45,89,24
23,73,78,28,6,51,101,31
36,81,77,19,3,57,104,35
25,70,66,25,15,54,108,37
25,77,64,18,5,48,108,30
15,78,74,22,5,47,106,25
18,81,67,20,7,42,100,29
22,69,46,24,8,52,86,29
18,60,61,19,7,51,107,30
23,75,82,29,12,51,99,27
26,79,74,32,12,63,104,36
15,75,71,26,7,47,91,27
21,64,72,27,11,39,79,25
12,61,58,23,0,45,104,17
33,82,69,29,5,53,107,24
17,63,70,29,7,52,101,23
24,51,84,37,3,44,101,29
19,66,60,27,8,51,108,24
10,61,70,15,6,50,117,33
10,67,70,29,6,48,110,17
21,57,64,31,7,51,105,23
22,66,65,20,12,56,102,28
21,87,81,21,9,39,103,26
16,83,57,22,3,51,90,19
28,72,60,21,11,40,83,30
19,75,64,27,4,46,102,29
26,76,51,36,5,48,91,25
17,71,51,21,4,45,108,26
18,76,53,24,3,52,117,26
15,77,60,27,1,59,108,29
26,85,61,16,3,44,100,22
25,70,69,20,3,39,92,27
27,76,51,25,6,39,101,20
25,91,49,15,7,53,103,27
15,92,73,15,4,53,120,25
11,75,67,19,6,48,92,23
23,85,66,21,7,48,100,34
9,76,58,32,2,50,97,29
21,68,69,23,8,49,106,31
14,69,70,14,1,44,109,24
9,67,59,24,3,43,121,23
20,72,57,21,1,52,112,30
11,84,63,21,5,50,103,22
15,90,67,18,6,56,114,30
18,93,53,17,5,67,113,29
8,74,74,24,1,57,119,27
19,80,57,8,3,48,106,29
17,78,67,21,1,51,108,21
32,79,57,26,4,46,99,23
25,94,66,30,2,53,109,23
23,86,72,26,5,49,101,23
17,84,66,18,4,50,99,28
11,88,53,27,6,54,109,26
18,93,57,14,3,52,96,21
20,85,58,31,6,52,106,28
23,74,83,22,6,52,105,24
20,84,65,25,6,52,113,27
23,82,47,27,2,46,94,25
37,92,59,16,3,51,88,28
24,90,57,28,5,58,111,30
34,85,66,38,15,51,96,36
25,74,42,19,4,44,88,26
22,81,58,22,9,61,117,29
25,89,57,18,1,42,99,30
26,75,62,17,1,38,91,19
29,81,46,22,6,55,92,28
22,95,55,14,2,49,103,31
29,95,35,20,2,41,72,26
31,77,35,23,0,46,73,19
27,78,48,22,4,51,97,21
20,83,38,20,5,55,95,28
21,95,40,15,6,49,105,34
