electrode_1_willison_amplitude,electrode_2_willison_amplitude,electrode_3_willison_amplitude,electrode_4_willison_amplitude,electrode_5_willison_amplitude,electrode_6_willison_amplitude,electrode_7_willison_amplitude,electrode_8_willison_amplitude
55,44,66,29,24,21,2,10
57,46,49,33,41,37,3,10
54,34,52,34,17,15,2,9
40,35,40,34,25,20,8,8
39,40,55,46,26,23,4,6
52,36,57,38,21,14,0,6
57,45,73,35,28,24,1,7
47,46,71,55,24,26,3,1
67,52,61,38,24,22,0,7
53,49,55,51,24,20,6,11
67,48,70,40,24,20,1,9
54,52,72,44,19,17,4,9
79,67,73,51,24,20,1,8
66,62,81,46,30,26,1,10
52,36,70,45,27,21,2,8
52,58,73,47,20,24,5,4
49,51,61,45,29,30,2,7
49,33,90,44,19,22,1,1
48,54,70,43,22,22,0,0
53,56,66,41,30,27,5,2
66,58,76,50,24,21,3,4
47,61,75,54,32,27,2,2
48,56,72,53,24,16,2,5
52,40,76,53,17,18,3,7
59,48,76,51,24,19,2,6
51,49,66,38,24,17,1,9
52,48,80,42,25,23,2,8
65,53,67,41,28,27,2,5
80,76,65,48,32,25,2,3
65,62,83,46,36,30,4,7
63,41,75,52,21,17,0,1
71,71,68,45,37,37,3,10
58,57,78,54,37,38,5,5
83,77,82,49,34,29,4,4
82,72,84,53,28,27,3,13
80,72,86,33,30,26,8,8
78,68,87,59,37,31,4,6
84,63,82,48,33,29,7,7
89,88,78,61,35,21,1,8
73,70,76,61,46,39,8,10
82,84,85,61,33,30,6,10
70,88,88,73,39,25,4,7
57,55,81,57,33,25,0,3
45,69,80,50,42,36,7,5
72,79,80,68,40,30,3,6
69,68,70,55,29,26,4,10
64,74,87,48,28,20,1,3
85,73,84,59,38,29,5,4
93,84,88,70,44,40,6,2
65,67,97,68,40,32,3,4
70,67,86,61,33,31,4,13
63,65,86,76,34,34,0,3
15,16,74,49,32,32,3,1
16,26,84,48,48,40,4,0
31,44,86,50,50,43,8,7
39,37,72,41,33,30,4,3
31,35,67,45,30,27,2,0
41,50,89,48,48,52,4,1
37,36,77,41,43,29,3,2
32,39,64,39,45,37,5,4
32,32,78,40,37,35,1,1
35,31,78,41,39,35,8,4
36,32,69,37,42,40,8,5
32,36,64,38,38,38,2,2
38,38,74,60,42,38,5,2
37,38,72,52,40,37,5,1
47,38,73,51,41,48,8,2
31,25,95,55,37,33,2,0
37,48,83,50,35,30,5,2
24,24,84,39,31,34,4,2
13,12,74,31,23,22,0,0
26,18,78,44,25,30,4,0
46,37,85,63,39,35,6,7
94,70,101,80,21,15,6,19
86,84,86,72,30,21,0,6
97,91,82,68,39,38,7,16
67,77,93,71,32,28,0,0
76,82,93,68,40,40,1,7
85,89,101,53,27,30,4,8
85,82,86,74,31,25,4,6
84,88,80,67,33,32,4,5
82,74,80,52,20,19,1,6
74,62,86,82,43,41,10,16
81,78,88,56,33,23,8,20
80,67,73,48,30,25,7,7
66,70,69,45,32,28,7,3
82,63,68,44,32,26,2,8
63,73,68,57,26,20,1,6
31,28,73,28,26,21,2,2
58,57,77,46,24,25,1,2
36,48,72,53,29,26,4,3
43,39,81,32,39,33,3,2
39,39,78,42,38,31,3,2
43,46,84,41,30,27,2,0
55,52,74,43,25,25,4,5
36,36,82,50,27,23,7,1
42,54,70,46,31,24,1,1
49,68,67,51,30,24,5,9
15,35,37,11,27,31,1,1
20,24,33,14,29,23,1,3
13,25,34,19,30,32,4,1
25,30,33,15,24,25,6,2
36,37,37,17,28,24,4,0
30,27,36,15,21,18,3,2
19,39,46,20,31,36,1,0
28,34,33,16,29,30,4,4
23,25,54,29,27,23,6,3
16,25,48,14,34,28,5,2
20,16,31,16,22,20,3,2
