electrode_1_willison_amplitude,electrode_2_willison_amplitude,electrode_3_willison_amplitude,electrode_4_willison_amplitude,electrode_5_willison_amplitude,electrode_6_willison_amplitude,electrode_7_willison_amplitude,electrode_8_willison_amplitude
99,96,123,76,45,67,97,103
88,101,130,75,36,62,62,104
100,95,137,72,44,94,106,108
79,98,131,71,31,82,126,111
102,94,137,80,47,102,123,128
96,108,139,96,43,62,126,127
93,92,137,87,45,93,105,119
106,101,134,90,65,88,113,121
105,95,136,92,46,56,117,119
93,82,129,100,67,80,113,128
104,84,131,60,29,88,113,129
103,92,125,105,46,86,110,114
99,78,135,98,40,71,62,112
98,91,132,76,46,88,125,131
103,97,138,99,35,84,111,123
109,96,135,105,50,81,122,134
108,85,129,101,58,89,102,116
104,93,140,96,56,72,128,128
99,104,141,99,49,74,130,132
87,85,131,90,34,73,113,121
101,108,135,92,48,85,124,99
93,111,135,82,55,109,100,92
100,113,125,89,54,95,111,100
98,122,133,83,43,108,107,92
104,113,138,98,51,104,107,107
92,113,133,91,44,100,102,92
96,109,136,91,59,101,110,112
112,129,136,104,54,94,116,106
85,108,129,84,49,103,78,103
104,111,138,99,67,85,98,107
80,93,127,81,37,99,87,109
86,104,132,88,51,72,90,102
72,97,132,88,51,96,75,92
97,98,137,94,35,92,72,82
85,91,131,90,36,92,96,99
90,106,137,95,55,83,86,91
88,101,128,100,33,95,85,91
78,104,138,87,40,73,69,117
80,91,138,94,37,84,85,91
81,92,137,103,49,100,95,101
85,93,132,90,29,74,84,102
119,107,126,78,55,87,119,96
115,116,125,82,60,78,130,104
128,101,129,93,60,102,138,108
124,97,124,89,48,78,131,93
108,96,113,78,45,87,141,97
128,114,123,90,61,93,135,83
124,81,116,73,45,89,139,97
110,101,115,74,52,90,137,96
122,103,116,82,41,82,137,98
116,107,108,87,57,82,133,87
114,104,124,92,48,89,136,88
132,90,122,88,64,87,143,110
119,100,123,84,53,88,139,87
121,99,119,88,33,89,139,93
119,106,124,105,62,80,137,105
