electrode_1_zero_crossing,electrode_2_zero_crossing,electrode_3_zero_crossing,electrode_4_zero_crossing,electrode_5_zero_crossing,electrode_6_zero_crossing,electrode_7_zero_crossing,electrode_8_zero_crossing
47,49,44,43,30,31,31,26
43,47,53,35,21,33,33,22
50,39,46,33,21,33,37,24
47,50,56,44,32,31,34,34
34,41,44,41,29,32,41,20
52,57,53,44,33,37,37,34
48,40,46,44,31,28,36,34
55,40,56,47,24,27,23,27
36,42,58,45,36,28,31,21
43,38,53,40,21,29,24,24
39,35,53,45,36,30,39,30
39,44,46,46,31,28,32,31
36,38,42,51,29,39,31,30
49,42,50,44,30,26,29,22
57,38,52,40,22,29,29,26
35,34,48,42,22,34,20,30
55,40,56,46,26,35,30,34
59,43,48,47,14,36,31,26
55,39,54,56,37,32,34,28
56,49,45,43,29,29,31,26
60,61,63,43,30,36,36,25
63,42,64,57,29,27,22,30
45,41,57,45,29,33,31,30
46,42,66,51,27,37,39,32
53,47,55,50,28,24,35,32
55,60,64,45,30,25,44,24
41,48,54,54,32,25,20,24
56,45,64,56,27,23,28,28
61,60,66,51,22,37,35,33
66,47,61,58,28,40,36,33
60,66,66,60,39,34,27,33
56,55,68,43,21,35,26,22
63,50,70,46,33,26,26,20
70,70,78,55,28,29,38,43
55,59,55,51,28,27,20,25
58,60,72,58,32,30,32,39
80,59,71,48,25,15,34,36
67,55,63,44,25,17,38,28
62,50,77,50,27,31,37,35
64,56,66,48,46,36,29,29
61,60,60,52,34,24,29,29
75,65,55,49,33,24,27,25
71,63,67,52,22,37,29,27
62,44,63,49,25,20,27,23
48,52,76,58,23,16,25,31
66,53,68,53,31,30,44,33
68,59,83,54,19,19,27,30
53,46,50,58,29,30,28,31
59,60,80,53,33,29,32,21
69,58,71,47,23,48,31,20
73,60,77,60,32,24,35,31
58,57,70,38,25,28,32,28
58,60,64,33,27,28,33,19
64,63,74,71,32,51,43,30
58,45,72,61,33,15,31,29
47,47,79,42,24,28,35,22
50,63,71,59,20,30,38,23
61,50,58,47,32,37,36,29
50,52,78,47,28,29,36,29
66,77,73,59,30,29,33,26
62,57,81,52,41,41,42,35
71,58,73,62,27,33,35,37
63,48,72,52,28,31,35,21
78,57,72,61,37,29,24,24
61,60,75,47,34,26,32,26
76,62,58,51,33,41,52,34
65,66,73,47,30,26,34,28
66,66,67,45,22,24,37,26
83,49,76,55,34,36,39,27
54,59,72,59,28,18,33,35
74,72,66,54,24,26,31,29
51,56,72,50,23,41,45,33
61,67,74,49,28,39,26,22
53,61,71,54,33,31,34,30
60,70,76,46,22,35,34,27
68,66,83,47,27,38,32,30
74,61,68,52,24,40,38,21
69,64,69,50,30,35,34,32
67,67,82,55,30,38,32,36
69,68,72,51,28,19,29,32
60,70,81,56,31,36,33,29
68,77,80,73,25,28,30,15
59,78,65,58,30,33,32,38
49,53,67,61,37,28,38,26
62,65,73,61,33,31,32,35
59,60,65,52,22,27,30,28
66,50,69,62,37,28,29,19
64,64,75,54,37,33,31,36
64,72,78,51,27,35,33,34
58,81,78,54,30,32,34,36
72,73,76,44,32,34,29,23
59,68,71,61,25,29,25,32
58,46,70,50,28,23,21,22
61,64,64,52,21,22,24,23
53,46,49,54,40,39,27,35
65,47,51,39,21,40,31,26
58,36,47,46,32,41,44,30
58,48,70,42,32,41,32,26
71,43,58,43,39,53,37,35
41,40,36,47,30,32,29,22
45,45,47,33,38,53,33,32
59,50,64,52,27,46,46,30
54,56,52,41,30,45,39,38
64,51,60,43,20,39,44,31
72,56,66,55,38,35,31,31
63,50,67,44,17,28,31,26
74,47,50,41,26,43,29,29
74,65,64,41,28,39,31,35
63,66,83,56,32,47,40,32
64,51,64,56,23,33,35,36
75,64,69,54,28,31,37,25
83,72,77,50,39,44,35,34
73,57,85,53,30,29,42,39
66,63,70,49,21,23,29,27
64,47,87,53,25,43,37,32
72,52,72,54,34,30,30,30
73,61,66,61,35,24,26,26
77,60,67,55,24,33,36,31
76,71,78,52,23,36,34,25
70,50,68,55,29,38,35,33
80,65,72,57,31,40,35,26
79,67,75,46,30,42,41,42
84,66,73,45,21,39,41,31
82,76,79,37,22,42,40,33
82,70,66,41,27,38,33,22
72,75,74,46,29,48,46,44
74,58,66,48,25,42,41,23
80,58,83,49,31,39,36,33
79,63,73,47,31,40,45,32
69,57,79,53,22,33,36,30
79,82,75,45,31,38,39,40
82,63,75,55,28,36,35,39
71,67,83,46,34,29,32,36
80,64,78,50,21,37,40,35
79,67,70,45,23,34,43,42
82,75,76,55,23,32,43,35
68,80,77,40,21,30,30,28
72,68,69,48,28,45,53,32
73,78,69,44,32,37,41,41
81,64,75,50,30,46,53,43
75,67,75,50,28,44,42,34
78,63,77,44,28,38,47,31
71,54,76,61,29,36,38,33
69,61,75,45,26,40,34,34
64,59,76,56,24,47,38,39
70,78,74,57,25,39,46,31
78,59,73,46,20,28,40,39
82,77,80,52,34,31,36,35
80,59,74,58,24,31,39,34
