electrode_1_zero_crossing,electrode_2_zero_crossing,electrode_3_zero_crossing,electrode_4_zero_crossing,electrode_5_zero_crossing,electrode_6_zero_crossing,electrode_7_zero_crossing,electrode_8_zero_crossing
41,39,53,55,33,24,26,30
41,40,66,57,28,26,14,34
30,42,50,55,25,22,13,28
31,45,61,49,35,25,14,27
35,44,52,64,25,31,17,29
26,46,62,54,18,33,17,28
26,39,61,55,31,33,14,35
24,40,61,58,23,28,23,33
24,32,51,41,29,26,18,24
27,38,48,40,24,24,15,23
24,53,59,49,24,31,16,29
18,31,54,52,20,29,13,33
22,31,61,55,25,32,10,25
28,38,60,40,19,23,11,22
25,41,50,54,30,25,16,22
23,43,49,52,30,32,17,23
29,32,50,59,20,28,17,18
26,35,63,50,17,19,18,24
20,34,56,59,33,18,15,27
26,29,55,44,20,24,13,21
24,23,43,41,20,15,12,18
16,32,55,35,22,18,13,22
26,27,57,43,19,21,19,27
18,35,42,51,23,23,9,27
20,33,55,50,33,23,15,25
28,35,42,51,20,24,13,15
26,25,55,40,8,18,8,26
34,34,61,47,16,24,12,22
18,25,50,50,25,20,14,18
29,32,51,48,21,26,20,11
18,33,37,50,20,17,14,19
29,21,33,38,21,22,9,19
20,35,39,36,16,19,20,22
19,37,50,45,21,17,15,16
38,24,56,38,13,11,14,11
27,25,40,45,24,12,9,18
19,19,39,44,20,11,18,18
29,16,48,52,28,30,9,24
23,31,40,48,24,10,19,16
30,26,55,47,21,18,13,10
26,31,43,40,28,22,21,18
37,28,45,51,15,9,15,18
32,32,50,51,26,15,17,16
18,26,53,41,30,18,14,23
18,25,46,44,26,22,13,11
20,23,51,48,17,16,15,12
31,26,45,46,23,13,11,11
21,17,57,40,18,14,11,5
19,18,38,41,27,17,15,17
17,21,48,41,23,18,11,13
13,27,40,46,20,18,12,17
22,34,46,57,15,10,14,7
30,20,45,53,15,24,12,13
17,30,44,51,11,23,14,11
25,19,52,48,25,13,17,11
19,25,43,44,13,21,6,15
19,22,41,47,13,22,8,28
15,30,45,44,22,12,21,12
30,23,50,43,28,10,15,18
21,29,35,44,14,9,16,16
23,30,51,45,20,23,14,14
21,28,33,29,16,12,8,13
26,25,31,40,15,13,12,18
17,32,37,36,13,17,13,13
16,30,33,34,17,12,9,25
32,29,39,25,13,14,17,16
19,23,33,29,16,11,18,16
19,25,38,33,25,15,13,12
24,26,39,33,16,20,14,19
30,21,48,43,24,13,8,18
15,23,29,34,13,21,22,5
27,20,30,17,20,16,11,12
19,32,31,27,24,15,17,12
25,23,37,22,20,18,11,14
23,27,29,35,23,7,18,13
18,28,23,15,22,17,15,6
30,21,30,16,12,10,11,11
11,15,37,30,13,17,10,18
18,17,17,27,18,21,14,1
23,26,31,29,15,15,10,14
22,24,35,45,26,13,9,6
13,22,36,32,25,18,16,19
15,21,39,30,18,18,13,10
25,20,40,24,18,12,23,14
14,19,44,34,21,13,27,18
27,18,38,28,14,17,20,17
16,18,19,22,16,15,9,16
23,25,36,17,12,13,13,19
27,20,29,26,19,15,14,20
17,18,33,21,22,20,8,14
16,23,30,31,14,19,14,16
21,19,31,45,27,17,16,22
23,24,38,29,25,24,10,19
15,23,35,41,24,15,23,19
29,28,39,36,15,20,14,20
23,19,48,33,15,18,14,21
27,29,50,45,28,23,13,21
44,28,48,43,9,20,12,12
25,36,33,39,21,21,12,13
38,32,44,40,16,21,18,23
39,32,50,33,18,20,15,10
48,30,35,40,23,18,15,20
45,41,63,50,16,17,12,21
47,32,27,52,24,14,15,18
35,17,37,51,34,8,22,13
29,24,15,37,15,15,7,9
36,27,38,26,14,4,10,12
43,33,29,30,14,20,12,16
33,26,26,28,17,14,14,10
42,32,28,25,9,13,9,11
32,29,16,32,16,13,9,16
33,22,29,31,14,8,12,11
39,19,35,31,20,17,12,6
34,30,43,35,13,10,11,8
36,27,23,27,11,6,9,12
52,19,24,23,16,14,12,13
36,25,23,17,10,12,15,10
40,31,21,27,2,25,12,6
33,27,24,33,11,14,17,12
34,28,14,22,18,8,6,8
33,29,28,30,15,18,12,11
26,25,15,26,18,7,18,11
32,22,22,18,20,18,20,11
44,30,15,18,5,17,10,7
30,23,29,24,19,10,11,8
28,28,27,19,9,19,11,14
22,23,20,21,12,15,7,6
29,15,28,22,12,7,6,2
25,24,21,15,15,12,10,7
29,27,14,18,25,14,13,11
44,31,14,15,16,15,6,17
35,22,16,17,7,13,14,12
19,15,22,12,12,6,16,9
