electrode_1_zero_crossing,electrode_2_zero_crossing,electrode_3_zero_crossing,electrode_4_zero_crossing,electrode_5_zero_crossing,electrode_6_zero_crossing,electrode_7_zero_crossing,electrode_8_zero_crossing
50,55,81,50,24,56,66,46
57,79,71,53,45,54,82,48
43,50,74,55,26,56,70,42
59,79,62,58,36,50,70,34
56,75,72,59,36,62,75,47
42,55,68,61,25,53,85,38
46,57,68,64,40,45,86,47
50,63,72,61,40,51,92,49
46,37,70,57,23,50,70,35
41,61,80,57,45,52,76,32
61,77,72,50,34,54,65,48
64,78,77,69,40,53,72,45
34,58,58,58,45,64,81,37
44,67,81,56,31,60,60,41
44,61,64,55,34,62,75,44
37,65,77,62,26,58,86,39
39,62,81,55,38,62,71,47
33,56,75,64,40,60,79,54
41,66,80,57,35,65,69,52
36,54,82,64,35,71,91,39
41,63,70,57,39,64,73,40
40,56,70,53,37,79,88,52
34,40,56,50,41,67,72,47
48,59,69,55,31,42,77,32
38,68,69,63,48,47,77,37
46,61,76,60,32,61,80,48
51,62,82,62,30,65,63,40
62,71,83,58,40,69,85,46
53,70,71,57,32,50,74,45
54,70,88,65,55,70,80,52
49,63,71,56,36,57,75,42
53,63,79,62,35,58,69,37
55,73,76,58,34,66,74,50
56,68,70,52,29,64,89,41
31,55,74,52,29,68,88,45
60,80,80,55,47,52,72,39
57,78,69,68,40,46,65,44
43,55,70,51,32,54,85,46
51,74,82,59,30,44,71,39
40,72,56,67,41,57,76,48
45,61,75,63,30,54,73,42
61,71,59,49,33,55,71,46
53,68,81,63,38,61,76,42
45,69,71,67,32,60,80,50
49,53,73,56,42,62,73,52
48,68,71,57,38,64,65,51
59,75,68,45,48,56,85,55
60,88,87,68,37,57,71,52
55,72,73,66,31,49,72,48
69,86,83,66,37,53,83,46
63,81,86,57,40,76,87,61
50,74,60,54,27,55,80,46
69,83,87,74,41,59,84,46
64,80,74,59,30,60,79,50
42,72,69,61,34,68,94,53
49,71,68,55,26,57,88,51
43,76,64,52,29,66,75,49
48,74,52,46,40,54,70,51
46,68,75,44,34,67,77,47
60,72,84,75,49,52,72,51
47,74,82,63,34,50,90,47
52,78,77,57,45,53,94,48
58,53,68,48,36,47,54,31
47,56,67,53,30,51,77,39
51,72,75,62,28,56,85,46
54,76,66,62,37,46,69,50
55,82,80,53,29,65,85,48
44,66,70,61,35,62,61,46
62,81,68,53,37,53,73,51
41,60,62,59,37,55,97,44
62,92,78,60,37,60,79,55
53,76,69,60,35,50,76,57
45,64,68,58,25,48,79,46
31,68,77,53,24,57,79,49
48,71,69,53,32,49,76,44
57,63,62,45,21,57,71,49
37,71,79,51,24,46,65,47
