electrode_1_zero_crossing,electrode_2_zero_crossing,electrode_3_zero_crossing,electrode_4_zero_crossing,electrode_5_zero_crossing,electrode_6_zero_crossing,electrode_7_zero_crossing,electrode_8_zero_crossing
79,80,83,69,63,80,91,76
82,79,68,73,56,65,63,77
74,84,78,68,60,79,86,78
65,89,88,80,47,69,97,92
87,81,95,78,69,84,87,84
79,81,83,70,62,67,87,91
82,84,91,82,71,88,84,80
94,83,79,87,70,88,86,98
77,81,86,72,58,67,96,88
82,72,93,87,74,81,94,97
85,78,90,65,50,80,71,94
83,88,82,95,72,82,82,92
72,76,100,89,60,77,66,90
83,74,92,57,68,75,90,86
88,79,99,88,63,71,86,99
82,73,87,96,68,76,78,91
88,75,90,83,64,76,71,87
80,82,91,82,67,72,93,93
85,90,102,85,70,77,90,82
87,82,91,72,57,74,93,90
71,88,95,84,64,78,84,76
73,87,107,80,75,87,82,82
74,81,78,80,89,82,95,76
69,99,91,74,75,85,87,88
84,90,92,78,71,82,86,89
65,91,92,72,58,93,82,78
82,82,86,72,81,87,93,91
85,95,88,88,64,79,89,77
80,82,80,81,61,79,85,78
77,88,94,76,81,74,81,90
73,78,78,76,69,84,74,95
80,83,91,72,71,78,75,74
62,79,85,86,79,92,81,74
77,87,89,82,61,73,85,79
76,77,79,79,60,79,83,79
72,64,94,81,63,83,75,76
76,85,86,84,64,83,75,76
66,93,101,72,52,81,68,89
83,80,91,79,65,86,68,69
83,73,72,83,77,93,88,79
82,81,90,81,56,77,68,83
65,77,78,79,67,74,77,83
73,80,86,70,71,75,94,83
86,83,87,79,72,87,92,83
82,87,89,69,61,64,101,81
77,75,80,79,65,82,93,81
91,87,87,73,73,80,98,80
83,59,73,79,57,82,95,83
81,93,83,71,67,84,91,82
86,87,82,68,67,83,94,79
85,86,84,73,62,71,85,73
84,85,81,75,65,78,94,81
81,68,89,82,79,75,96,90
81,84,83,71,63,80,89,71
91,93,84,81,72,81,91,80
86,83,91,85,65,71,105,87
74,71,72,69,75,73,88,73
80,73,72,68,64,64,93,73
79,70,79,83,64,66,83,71
74,93,89,74,75,87,92,79
89,84,77,81,68,77,95,67
81,77,92,72,66,72,96,89
94,90,92,91,79,77,69,86
86,84,86,97,61,72,69,70
80,83,90,77,58,86,72,83
66,81,90,85,70,74,69,87
85,80,77,85,70,65,75,73
75,78,89,84,70,87,77,82
56,72,77,82,45,66,63,74
68,70,89,74,59,64,74,72
79,91,87,97,66,66,69,92
81,90,97,71,53,61,78,75
75,68,77,85,68,69,67,70
72,80,79,84,65,80,68,85
76,94,86,82,68,81,73,81
76,78,92,93,83,71,74,74
70,83,77,86,77,71,66,81
65,78,77,87,57,68,74,79
80,84,85,89,76,78,66,74
68,80,86,94,66,68,68,79
82,88,86,92,67,60,84,73
78,89,82,86,80,87,72,77
72,77,85,77,69,71,74,83
67,73,66,55,56,88,92,80
78,89,82,64,57,84,87,79
76,95,81,74,69,79,84,83
76,90,82,67,53,90,67,64
79,77,81,71,63,88,80,68
76,90,82,75,60,90,74,66
81,85,81,70,65,89,90,77
66,86,75,56,58,82,91,82
76,82,81,79,78,90,89,74
75,96,89,80,77,94,105,69
70,96,73,70,64,88,94,72
76,88,88,65,54,95,87,75
82,91,76,69,55,91,83,72
78,83,79,76,79,88,90,80
76,88,81,80,66,90,83,77
76,100,84,67,58,88,83,75
76,90,80,71,70,87,90,84
69,89,82,81,69,90,82,71
74,90,69,65,59,94,76,76
75,88,76,76,54,86,86,77
69,83,83,60,56,84,96,76
63,87,91,64,41,79,88,70
74,95,90,60,55,85,84,60
81,73,78,75,61,80,80,71
72,94,89,63,61,87,78,74
72,87,94,60,52,85,97,65
74,86,85,72,71,76,90,78
68,91,88,69,54,83,89,77
55,92,92,69,56,87,82,64
66,78,88,61,56,96,84,76
66,87,85,54,46,88,92,45
63,91,80,67,51,82,94,58
58,79,81,59,41,80,88,48
47,71,73,56,42,81,69,39
60,82,74,59,46,87,90,68
68,83,86,68,67,99,78,69
70,85,81,70,57,87,84,71
77,88,85,71,61,78,90,73
76,90,96,77,63,93,92,79
61,96,100,64,54,85,81,72
68,78,86,88,75,71,88,90
82,85,91,70,72,75,89,84
68,75,76,84,62,82,93,82
84,90,88,78,76,86,82,74
84,92,83,76,74,92,88,80
82,92,93,71,83,88,92,94
71,94,98,73,66,92,83,78
83,87,83,82,68,86,82,88
81,79,74,78,72,83,82,73
80,79,88,78,62,81,85,89
71,72,87,70,74,94,96,84
81,90,84,65,73,90,96,73
89,95,83,75,77,85,85,76
82,86,93,67,63,85,87,84
68,85,80,67,65,92,88,85
73,96,93,72,69,91,85,77
81,100,90,67,68,82,93,97
74,79,69,77,70,91,92,79
64,80,86,76,72,87,87,76
70,87,81,68,62,78,75,83
69,84,70,90,71,96,78,69
67,79,87,76,68,73,82,72
57,80,84,82,57,79,74,64
68,91,87,78,70,85,92,64
66,81,82,84,66,83,89,79
68,95,95,83,58,88,88,83
55,93,86,89,64,90,93,69
63,92,97,85,64,82,87,75
68,89,75,76,67,85,83,66
66,74,83,82,71,70,79,66
78,83,87,80,70,86,84,73
64,82,85,83,69,86,91,75
78,86,83,81,62,81,80,56
82,82,99,81,61,92,87,72
67,82,74,79,70,82,89,77
80,89,97,83,63,79,84,85
68,88,74,75,65,75,83,67
55,69,79,78,59,78,92,75
57,82,73,87,55,76,80,58
71,82,78,89,59,87,84,62
67,61,73,61,37,57,70,85
64,69,87,65,59,60,66,69
68,58,87,56,53,59,68,87
71,58,78,59,42,57,64,66
80,59,75,73,39,48,68,64
72,65,90,82,68,55,80,72
69,71,80,68,53,59,79,69
67,55,86,64,58,58,67,86
58,65,89,68,54,49,77,77
73,66,78,72,49,46,78,78
75,63,78,65,49,38,67,76
85,70,83,80,47,40,67,79
64,71,85,71,55,59,68,79
63,62,86,64,38,55,69,84
66,66,92,66,49,38,73,83
72,68,78,67,54,39,87,89
64,76,89,70,51,59,80,94
75,71,72,66,52,50,77,81
64,66,80,62,49,49,78,74
68,74,89,73,60,56,70,100
45,59,82,62,16,8,12,16
74,65,80,66,50,58,67,71
62,82,93,57,37,68,64,81
70,80,93,61,47,65,66,76
69,80,84,57,53,79,75,72
74,73,89,64,52,68,71,82
79,77,90,61,32,80,60,74
72,79,87,62,36,55,64,93
70,79,86,62,44,70,64,76
74,76,86,55,29,67,64,73
65,85,92,74,45,63,61,69
63,79,93,59,46,63,63,85
74,83,86,64,45,64,64,72
76,86,92,73,37,67,74,90
77,76,92,70,42,62,73,87
70,81,79,75,40,82,68,90
70,86,95,66,44,67,63,80
